credential_id,credential_name,pathway_node,pathway_level,pathway_tracks,match_score,match_reasons,mapping_status,evidence_status,record_type,official_url
C-015,Introduction to Modern AI,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
AI-001,AI Literacy,ai-literacy,Explore,ai-engineering,80,ai literacy,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-003,Artificial Intelligence Fundamentals,ai-literacy,Explore,ai-engineering,65,artificial intelligence,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-003,Artificial Intelligence Fundamentals,ml,Intermediate,ai-engineering,40,ml ,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-005,Generative AI Essentials: Using LLMs to Work with Data,ai-literacy,Explore,ai-engineering,85,generative ai;genai,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-005,Generative AI Essentials: Using LLMs to Work with Data,llm,Advanced,ai-engineering,55,llm,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-006,Getting Started with Generative AI,ai-literacy,Explore,ai-engineering,85,generative ai;genai,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-008,Intelligent by Design: Build an AI Agent,agents,Professional,ai-engineering,85,ai agent;ai agents,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-009,Make Agentic AI Work for You,agents,Professional,ai-engineering,80,agentic,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-010,Retrieval-Augmented Generation for Enhanced AI Outputs,rag,Advanced,ai-engineering,85,retrieval-augmented;rag,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
SF-010,Agentforce: Agent Planning,agents,Professional,ai-engineering,55,ai agents,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
SF-001,Artificial Intelligence Fundamentals,ai-literacy,Explore,ai-engineering,65,artificial intelligence,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
SF-002,Generative AI Basics,ai-literacy,Explore,ai-engineering,85,generative ai;genai,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
SF-009,Introduction to Agentforce,agents,Professional,ai-engineering,55,ai agents,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
